# Curated nutrition for local Malaysian dishes, per 100g of the dish as served.
#
# Why this file exists: USDA's search covers American foods and generic
# ingredients, and has no entry for any composite Malaysian dish. Asked about
# one it still answers — a benchmark of 30 local dishes had 26% of its USDA
# matches come back arithmetically impossible ("nasi lemak" resolved to plain
# chicken with 0g carbohydrate; "black pepper chicken chop rice" to the spice
# itself). This table is consulted first so recognised dishes never reach that
# lookup, and USDA is left to do what it is actually good at: single ingredients.
#
# Values are curated approximations assembled from published Malaysian serving
# figures and typical stall portions, intended for ranking dishes against one
# another rather than for clinical use. Macros reconcile with the stated energy
# at 4/4/9 to within a few percent.
#
# Format: canonical | aliases (; separated) | kcal | protein | carbs | fat | fibre | sugar | sodium | foodGroup | fried
# Matching is case-insensitive on the longest alias contained in the dish name,
# so a more specific row always beats a more general one.

# --- rice ---
nasi lemak with fried chicken|nasi lemak ayam goreng;nasi lemak fried chicken;nasi lemak special|221|10|22|10.5|1.3|2.5|350|grain|true
nasi lemak|nasi lemak biasa;coconut rice|215|6|26.7|9.3|1.5|3|300|grain|false
nasi kandar|nasi kandar ayam;nasi kandar curry|156|6.7|20|5.3|1.3|1.5|430|grain|false
nasi kerabu|nasi kerabu ayam percik|184|7.8|22|7|1.6|1.8|310|grain|false
nasi dagang|nasi dagang ikan tongkol|155|7|19|5.5|1.4|1.5|350|grain|false
nasi goreng kampung|nasi goreng;kampung fried rice|177|6|23|6|1.2|1.5|450|grain|true
nasi briyani|briyani;beriani;nasi beriani|156|7|21|4.8|1.2|1.5|400|grain|false
nasi campur|mixed rice;economy rice;nasi ekonomi|156|7.5|20|5|1.3|1.5|420|grain|false
nasi ayam penyet|ayam penyet|173|9|19|6.7|1.2|1.5|450|grain|true
hainanese chicken rice|chicken rice;nasi ayam hainan;steamed chicken rice|133|8|17|3.5|0.7|0.5|280|grain|false
claypot chicken rice|claypot rice|138|6.7|18|4|0.8|1|400|grain|false
char siew rice|char siu rice;bbq pork rice|155|9|21|4|0.8|3|420|grain|false
roasted duck rice|duck rice;itik panggang|170|10|20|6|0.7|2|430|grain|false
beef rendang with rice|rendang with rice;nasi rendang|175|9|22|6|1.2|2|380|grain|false
